"name","href","address"
"Westway Diner","https://www.delivery.com/cities/nyc/categories/restaurant/westway-diner","614 9th Ave (Between 43rd Street & 44th Street)"
"Bread Factory","https://www.delivery.com/cities/nyc/categories/restaurant/bread-factory","600 9th Ave (Between 42nd & 43rd)"
"Room Service Thai","https://www.delivery.com/cities/nyc/categories/restaurant/room-service-thai","690 9th Ave (Between 47th & 48th Street)"
"A1 Ocha Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/ocha","350 W 46th St (between 8th & 9th Avenue)"
"AA Jing","https://www.delivery.com/cities/nyc/categories/restaurant/jing","689 9th Ave (Between 47th & 48th Street)"
"42nd Street Diner & Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/42nd-street-diner-pizza","647 W 42nd St (11th ave & 12th ave)"
"Qi","https://www.delivery.com/cities/nyc/categories/restaurant/qi","675 8th Ave (West 42nd St & West 43rd St)"
"Happy Family","https://www.delivery.com/cities/nyc/categories/restaurant/happy-family","500 W 43rd St (on 10th Avenue)"
"Galaxy Diner","https://www.delivery.com/cities/nyc/categories/restaurant/galaxy-diner","665 9th Ave (Corner of West 46th St.)"
"Taki Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/taki-sushi","60 W 48th St (Between 5th & 6th Ave.)"
"Wendy's","https://www.delivery.com/cities/nyc/categories/restaurant/wendys","1211 Avenue of the Americas (Between 47th & 48th Street)"
"Minar Indian Restaurant","https://www.delivery.com/cities/nyc/categories/restaurant/minar-indian-restaurant-w-46th-st","138 W 46th St (between 6th & 7th avenue)"
"Abace Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/abace-sushi","695 9th Ave (w 48th)"
"Two Boots","https://www.delivery.com/cities/nyc/categories/restaurant/two-boots","625 9th Ave (Between 44th & 45th)"
"Green Symphony","https://www.delivery.com/cities/nyc/categories/restaurant/green-symphony","255 W 43rd St (7th Ave & 8th Ave)"
"Al Horno Lean Mexican Kitchen","https://www.delivery.com/cities/nyc/categories/restaurant/al-horno-lean-mexican-kitchen","417 W 47th St (9th Ave & 10th Ave)"
"Pinkberry (Hells Kitchen)","https://www.delivery.com/cities/nyc/categories/restaurant/pinkberry-9th-ave","596 9th Ave (Between 42nd St & 43rd St)"
"Don Giovanni Ristorante","https://www.delivery.com/cities/nyc/categories/restaurant/don-giovanni-ristorante-w-44th-st","358 W 44th St (9th Avenue)"
"Blossom Du Jour","https://www.delivery.com/cities/nyc/categories/restaurant/blossom-du-jour","617 9th Ave (Between W 43th and W 44th Street)"
"Havana Central (Times Square)","https://www.delivery.com/cities/nyc/categories/restaurant/havana-central-times-square-","151 W 46th St (Between 6th & 7th Ave.)"
"Kosher Deluxe","https://www.delivery.com/cities/nyc/categories/restaurant/kosher-deluxe","10 W 46th St (Between 5th Ave & 6th Ave)"
"Le Mirage Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/le-mirage-cafe","20 W 43rd St (Between 5th Ave. & Avenue Of The Americas)"
"Europan Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/europan-cafe","672 8th Ave (Between 42nd & 43rd)"
"Turco Mediterranean Grill","https://www.delivery.com/cities/nyc/categories/restaurant/turco-mediterranean-grill","604 9th Ave (Between 43rd and 44th)"
"Claudio Pizzeria Ristorante","https://www.delivery.com/cities/nyc/categories/restaurant/claudio-pizzeria-ristorante","598 10th Ave (43rd st)"
"@Nine","https://www.delivery.com/cities/nyc/categories/restaurant/-nine","592 9th Ave (Between W 42nd and W 43rd St)"
"McDonald's (#16658)","https://www.delivery.com/cities/nyc/categories/restaurant/mcdonalds-16658-","688 8th Ave (Between W 43rd Ave & W 44th Ave)"
"Danielas Gourmet Trattoria","https://www.delivery.com/cities/nyc/categories/restaurant/danielas-gourmet-trattoria","728 8th Ave (Between 45th & 46th Street)"
"Ranch 1","https://www.delivery.com/cities/nyc/categories/restaurant/ranch-1-w-46th-st","5 W 46th St (Between 5th & 6th Aves)"
"Spice Grill","https://www.delivery.com/cities/nyc/categories/restaurant/spice-grill","48 W 48th St (Between Avenue of the Americas and 5th Ave)"
"Mr. Biggs","https://www.delivery.com/cities/nyc/categories/restaurant/mr-biggs","596 10th Ave (43rd & 10th Ave.)"
"Dafni Greek Taverna","https://www.delivery.com/cities/nyc/categories/restaurant/dafni-greek-taverna","325 W 42nd St (Between 8th & 9th Ave.)"
"Gourmet Unlimited","https://www.delivery.com/cities/nyc/categories/restaurant/gourmet-unlimited","593 10th Ave (Between W 43rd St & W 44th St)"
"City Sandwich","https://www.delivery.com/cities/nyc/categories/restaurant/city-sandwich","649 9th Ave (Between 45th and 46th Street)"
"Breeze Thai-French Kitchen","https://www.delivery.com/cities/nyc/categories/restaurant/breeze-thai-french-kitchen","661 9th Ave (Between 45th St & 46th St)"
"Church's Chicken","https://www.delivery.com/cities/nyc/categories/restaurant/churchs-chicken-8th-ave","705 8th Ave (Between 44th & 45th Street)"
"Bareburger","https://www.delivery.com/cities/nyc/categories/restaurant/bareburger-w-46th-st","366 W 46th St"
"West Side Steakhouse","https://www.delivery.com/cities/nyc/categories/restaurant/west-side-steakhouse","597 10th Ave (Between 43rd & 44th Street)"
"Aoki Japanese","https://www.delivery.com/cities/nyc/categories/restaurant/aoki-japanese","234 W 48th St (Bet. Broadway and 8th Avenue)"
"Bella Vita Pizzeria","https://www.delivery.com/cities/nyc/categories/restaurant/bella-vita-pizzeria","211 W 43rd St (W 43rd St & 8th Ave)"
"Taqueria Tehuitzingo","https://www.delivery.com/cities/nyc/categories/restaurant/taqueria-tehuitzingo","578 9th Ave (Between 8th and 9th Ave)"
"Little Italy","https://www.delivery.com/cities/nyc/categories/restaurant/little-italy-10036","55 W 45th St (Between 5th & 6th Ave.)"
"Dallas BBQ","https://www.delivery.com/cities/nyc/categories/restaurant/dallas-bbq","241 W 42nd St (7th and 8th)"
"Fuel","https://www.delivery.com/cities/nyc/categories/restaurant/fuel-9th-ave","683 9TH AVE (Between 47th and 48th Street)"
"Shorty's","https://www.delivery.com/cities/nyc/categories/restaurant/shortys","576 9th Ave (Between 41st & 42nd St.)"
"City Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/city-cafe-w-43rd-st","35 W 43rd St (Between 5th & 6th Ave)"
"McDonald's (#6971)","https://www.delivery.com/cities/nyc/categories/restaurant/mcdonalds-6971-","1560 Broadway (Between W 46th St & W 47th St)"
"The Red Flame","https://www.delivery.com/cities/nyc/categories/restaurant/the-red-flame","67 W 44th St (Between 5th & 6th Ave.)"
"Hell's Chicken","https://www.delivery.com/cities/nyc/categories/restaurant/hells-chicken","641 10th Ave (Between W 46th and W 45th St)"
"Market Diner","https://www.delivery.com/cities/nyc/categories/restaurant/market-diner","572 11th Ave (Between 43rd and 44th St)"
"Ollie's","https://www.delivery.com/cities/nyc/categories/restaurant/ollies","411 W 42nd St (Between 9th and 10th Ave)"
"Liberty Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/liberty-cafe","37 W 43rd St (Between 5th & 6th Avenue)"
"El Rancho Burritos","https://www.delivery.com/cities/nyc/categories/restaurant/el-rancho-burritos","359 W 45th St (Between 8th and 9th Ave)"
"Obao","https://www.delivery.com/cities/nyc/categories/restaurant/obao-9th-ave","647 9TH AVE (Between W 45th and W 46th St)"
"Nathan's","https://www.delivery.com/cities/nyc/categories/restaurant/nathans","705 8th Ave (Between 44th & 45th Street)"
"Ai's Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/ais-sushi","374 W 46TH ST (Between 8th and 9th)"
"The New York Beer Company","https://www.delivery.com/cities/nyc/categories/restaurant/the-new-york-beer-company","321 W 44th St (8th Ave & 9th Ave)"
"Maoz Vegetarian","https://www.delivery.com/cities/nyc/categories/restaurant/maoz-vegetarian-8th-ave","683 8TH AVE (43rd Street)"
"New Haru","https://www.delivery.com/cities/nyc/categories/restaurant/umu-sushi","500 W 43rd St (Between 42nd & 43rd)"
"Bourbon Street Bar & Grille","https://www.delivery.com/cities/nyc/categories/restaurant/bourbon-street-bar-grille","346 W 46th St (Between 8th & 9th Ave.)"
"Siri Thai","https://www.delivery.com/cities/nyc/categories/restaurant/siri-thai","641 10th Ave (Between 45th & 46th Streets)"
"Famous Famiglia Pizzeria","https://www.delivery.com/cities/nyc/categories/restaurant/famous-famiglia","686 8th Ave (At 43rd Street)"
"Patzeria Family & Friends","https://www.delivery.com/cities/nyc/categories/restaurant/patzeria-family-friends","311 W 48th St (Between 8th and 9th Avenue)"
"Lucky Star Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/lucky-star-cafe","250 W 43rd St (Between 8th and 7th Ave)"
"Daisy May's BBQ","https://www.delivery.com/cities/nyc/categories/restaurant/daisy-mays-bbq","623 11th Ave (West 46th Street)"
"Abruzzi Pizzeria","https://www.delivery.com/cities/nyc/categories/restaurant/abruzzi-pizzeria","642 9TH AVE (West 45th St & West 46th St)"
"Burrito Bar","https://www.delivery.com/cities/nyc/categories/restaurant/burrito-bar","5 W 46th St (Between 5th & 6th Aves)"
"Sombrero","https://www.delivery.com/cities/nyc/categories/restaurant/sombrero","303 W 48th St (corner of 8th Avenue)"
"Monster Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/monster-sushi-w-46th-st","22 W 46th St (Between 5th & 6th Street)"
"Brazil Brazil","https://www.delivery.com/cities/nyc/categories/restaurant/brazil-brazil","330 W 46th St (Between 8th St & 9th St)"
"Bali Nusa Indah Restaurant","https://www.delivery.com/cities/nyc/categories/restaurant/bali-nusa-indah-restaurant","651 9th Ave (Between 45th & 46th Street)"
"The Original Pronto Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/the-original-pronto-pizza","135 W 41st St (6th & Broadway)"
"Subway","https://www.delivery.com/cities/nyc/categories/restaurant/subway-3-10036","705 8th Ave (Between 44th & 45th)"
"Pietrasanta","https://www.delivery.com/cities/nyc/categories/restaurant/pietrasanta","683 9th Ave (On 47th Street northwest corner)"
"Red Moon","https://www.delivery.com/cities/nyc/categories/restaurant/red-moon","132 W 45th St (Between 6th & 7th Ave.)"
"Antalia","https://www.delivery.com/cities/nyc/categories/restaurant/antalia","17 W 45th St (5th Ave & 6th Ave)"
"Hing Won Chinese Noodle Shop","https://www.delivery.com/cities/nyc/categories/restaurant/hing-won-chinese-noodle-shop","48 W 48th St (Between 5th and 6th Ave)"
"Healthy Corner","https://www.delivery.com/cities/nyc/categories/restaurant/healthy-corner","637 9th Ave (W 45th St)"
"Szechuan Palace","https://www.delivery.com/cities/nyc/categories/restaurant/szechuan-palace","360 W 42nd St (Between W 41st and 42nd St)"
"Wrapido","https://www.delivery.com/cities/nyc/categories/restaurant/wrapido-9th-ave","673 9th Ave (Between W 47th and W 46th St)"
"Choza Taqueria","https://www.delivery.com/cities/nyc/categories/restaurant/choza-taqueria-11th-ave","600 11TH AVE (11th Ave and 45th St)"
"NY Food Market","https://www.delivery.com/cities/nyc/categories/grocery-store/ny-food-market","681 9th Ave (W 47th St.)"
"Mike's Deli","https://www.delivery.com/cities/nyc/categories/restaurant/mikes-deli","321 W 42nd St (Between 8th and 9th Ave)"
"Pronto Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/pronto-pizza-w-48th-st","62 W 48th St (Between 5th and 6th Ave.)"
"Mama's Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/mamas-pizza","705 8th Ave (Between 44th & 45th St.)"
"Utsav","https://www.delivery.com/cities/nyc/categories/restaurant/Utsav","1185 Avenue of the Americas (W. 46th Street and 7th Avenue)"
"99 Cents Express Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/99-cents-express-pizza","301 W 43RD ST (Between 8th Ave & 9th Ave)"
"Dunhill Cafe & Caterers","https://www.delivery.com/cities/nyc/categories/restaurant/dunhill-cafe-caterers","109 W 45th St (Between 6th and 7th Avenue)"
"Subway","https://www.delivery.com/cities/nyc/categories/restaurant/subway-10th-ave","561 10th Ave (Between W 41st and W 42nd St)"
"Freshday","https://www.delivery.com/cities/nyc/categories/restaurant/freshday","38 W 48th St (Between Avenue of Americas and 5th Ave)"
"Va Presto (8th Ave)","https://www.delivery.com/cities/nyc/categories/restaurant/va-presto-8th-ave-","750 8TH AVE (Between W 46th and W 47th St)"
"City Cafe Catering","https://www.delivery.com/cities/nyc/categories/caterer/city-cafe","35 W 43rd St (Between 5th & 6th Ave)"
"Easy Gourmet Catering","https://www.delivery.com/cities/nyc/categories/caterer/easy-gourmet-catering","707 8th Ave (8th and 46th Street)"
"Kosher Deluxe Catering","https://www.delivery.com/cities/nyc/categories/caterer/kosher-deluxe-catering","10 W 46th St (Between 5th Ave & 6th Ave)"
"Taam Tov","https://www.delivery.com/cities/nyc/categories/restaurant/taam-tov","41 W 47th St (Btw. 5th Ave. and Avenue of the Americas)"
"One Thai Chef","https://www.delivery.com/cities/nyc/categories/restaurant/one-thai-chef","339 W 44TH ST (Between 8th and 9th Ave)"
"Smokey Burger Organic","https://www.delivery.com/cities/nyc/categories/restaurant/smokey-burger-organic","339 W 44th St (Between 9th and 8th Ave)"
"Quinn's Bar & Grill","https://www.delivery.com/cities/nyc/categories/restaurant/quinns-bar-grill","356 W 44th St (9th Ave)"
"The Counter","https://www.delivery.com/cities/nyc/categories/restaurant/the-counter","1451 Broadway (Between W 41st and W 42nd St)"
"West Bank Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/west-bank-cafe","407 W 42nd St (9th ave)"
"The Original Pronto Pizza Catering","https://www.delivery.com/cities/nyc/categories/caterer/the-original-pronto-pizza-catering","135 W 41st St"
"Pronto Pizza and Beer","https://www.delivery.com/cities/nyc/categories/restaurant/pronto-pizza-and-beer","30 W 48th St (Between 5th & 6th Ave.)"
"Ranch 1 Catering","https://www.delivery.com/cities/nyc/categories/caterer/ranch-1-catering-w-46th-st","5 W 46th St (Between 5th & 6th Aves)"
"Patzeria Family & Friends (Catering)","https://www.delivery.com/cities/nyc/categories/caterer/patzeria-family-friends-catering-","311 W 48th St (Between 8th and 9th Ave.)"
"Off Broadway Deli and Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/off-broadway-deli-and-pizza","726 8th Ave (Between 45th and 46th Street)"
"Patron Mexican Grill","https://www.delivery.com/cities/nyc/categories/restaurant/patron-mexican-grill","608 9th Ave (Between 43rd and 44th Street)"
"Ceci Italian Cuisine","https://www.delivery.com/cities/nyc/categories/restaurant/ceci-italian-cuisine","46 W 46th St (Between 5th and 6th Avenue)"
"37 Liberty Caterers","https://www.delivery.com/cities/nyc/categories/caterer/37-liberty-caterers","37 W 43rd St (Between 5th & 6th Avenue)"
"L'ybane","https://www.delivery.com/cities/nyc/categories/restaurant/lybane","709 8th Ave (Between W 44th and W 45th Street)"
"Balkanika Restaurant","https://www.delivery.com/cities/nyc/categories/restaurant/balkanika-restaurant","691 9th Ave (Between W 48th and 47th St)"
"Auntie Anne's Pretzels","https://www.delivery.com/cities/nyc/categories/caterer/auntie-annes-pretzels","664 8th Ave (42nd & 43rd St)"
"Nuchas","https://www.delivery.com/cities/nyc/categories/caterer/nuchas","1514 Broadway (Between W 44th and W 45th St)"
"Nano Ecuadorian Restaurant","https://www.delivery.com/cities/nyc/categories/restaurant/nano-restaurant","691 10th Ave (Between W 47th and W 48th St)"
"BXL Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/bxl-cafe","125 W 43rd St (Between 6th and 7th Ave)"
"Tartina","https://www.delivery.com/cities/nyc/categories/restaurant/tartina","653 9th Ave (Between W 45th and W 46th St)"
"Anejo","https://www.delivery.com/cities/nyc/categories/restaurant/anejo","668 10th Ave (w 47th st)"
"Al Horno Lean Mexican Kitchen Catering","https://www.delivery.com/cities/nyc/categories/caterer/al-horno-lean-mexican-kitchen-catering-w-47th-st","417 W 47th St (9th Ave & 10th Ave)"
"Gourmet New York Market","https://www.delivery.com/cities/nyc/categories/restaurant/gourmet-new-york-market","680 8TH AVE (Between 7th and 8th Ave)"
"Nova Catering","https://www.delivery.com/cities/nyc/categories/restaurant/nova-catering","1140 Avenue of the Americas (Corner of W 44th St)"
"Claudio Ristorante Catering","https://www.delivery.com/cities/nyc/categories/caterer/claudio-ristorante-catering","598 10th Ave (43rd st)"
"Subway","https://www.delivery.com/cities/nyc/categories/restaurant/subway-w-42nd-st","351 W 42nd St (Between 8th and 9th Ave)"

